Bitcoin,Ethereum,Litecoin,Bitcoin_Cash,Ethereum_Classic,XRP,Bitcoin_SV,Dash,Zcash,Monero,Dogecoin,Bitcoin_Gold,Peercoin,Vertcoin,Reddcoin,Feathercoin,Blackcoin,Novacoin
0.0495,,,,,,,,,,,,,,,,,
0.0726,,,,,,,,,,,,,,,,,
0.0859,,,,,,,,,,,,,,,,,
0.0783,,,,,,,,,,,,,,,,,
0.0767,,,,,,,,,,,,,,,,,
0.0649,,,,,,,,,,,,,,,,,
0.0566,,,,,,,,,,,,,,,,,
0.0581,,,,,,,,,,,,,,,,,
0.053,,,,,,,,,,,,,,,,,
0.053,,,,,,,,,,,,,,,,,
0.057999999999999996,,,,,,,,,,,,,,,,,
0.0595,,,,,,,,,,,,,,,,,
0.0648,,,,,,,,,,,,,,,,,
0.0663,,,,,,,,,,,,,,,,,
0.0664,,,,,,,,,,,,,,,,,
0.0611,,,,,,,,,,,,,,,,,
0.0613,,,,,,,,,,,,,,,,,
0.06,,,,,,,,,,,,,,,,,
0.0597,,,,,,,,,,,,,,,,,
0.0596,,,,,,,,,,,,,,,,,
0.0622,,,,,,,,,,,,,,,,,
0.0599,,,,,,,,,,,,,,,,,
0.06,,,,,,,,,,,,,,,,,
0.066,,,,,,,,,,,,,,,,,
0.069,,,,,,,,,,,,,,,,,
0.0635,,,,,,,,,,,,,,,,,
0.069,,,,,,,,,,,,,,,,,
0.0655,,,,,,,,,,,,,,,,,
0.0663,,,,,,,,,,,,,,,,,
0.0661,,,,,,,,,,,,,,,,,
0.0643,,,,,,,,,,,,,,,,,
0.0678,,,,,,,,,,,,,,,,,
0.069,,,,,,,,,,,,,,,,,
0.0673,,,,,,,,,,,,,,,,,
0.0661,,,,,,,,,,,,,,,,,
0.066,,,,,,,,,,,,,,,,,
0.0655,,,,,,,,,,,,,,,,,
0.0655,,,,,,,,,,,,,,,,,
0.065,,,,,,,,,,,,,,,,,
0.0656,,,,,,,,,,,,,,,,,
0.0644,,,,,,,,,,,,,,,,,
0.0645,,,,,,,,,,,,,,,,,
0.0646,,,,,,,,,,,,,,,,,
0.0644,,,,,,,,,,,,,,,,,
0.0648,,,,,,,,,,,,,,,,,
0.0621,,,,,,,,,,,,,,,,,
0.0625,,,,,,,,,,,,,,,,,
0.0622,,,,,,,,,,,,,,,,,
0.0609,,,,,,,,,,,,,,,,,
0.0618,,,,,,,,,,,,,,,,,
0.062,,,,,,,,,,,,,,,,,
0.0622,,,,,,,,,,,,,,,,,
0.0613,,,,,,,,,,,,,,,,,
0.0615,,,,,,,,,,,,,,,,,
0.0611,,,,,,,,,,,,,,,,,
0.0614,,,,,,,,,,,,,,,,,
0.0628,,,,,,,,,,,,,,,,,
0.0618,,,,,,,,,,,,,,,,,
0.0621,,,,,,,,,,,,,,,,,
0.062,,,,,,,,,,,,,,,,,
0.0615,,,,,,,,,,,,,,,,,
0.0619,,,,,,,,,,,,,,,,,
0.0599,,,,,,,,,,,,,,,,,
0.06,,,,,,,,,,,,,,,,,
0.0618,,,,,,,,,,,,,,,,,
0.0621,,,,,,,,,,,,,,,,,
0.0629,,,,,,,,,,,,,,,,,
0.0623,,,,,,,,,,,,,,,,,
0.0622,,,,,,,,,,,,,,,,,
0.0621,,,,,,,,,,,,,,,,,
0.0621,,,,,,,,,,,,,,,,,
0.062,,,,,,,,,,,,,,,,,
0.0621,,,,,,,,,,,,,,,,,
0.0619,,,,,,,,,,,,,,,,,
0.062,,,,,,,,,,,,,,,,,
0.0618,,,,,,,,,,,,,,,,,
0.0619,,,,,,,,,,,,,,,,,
0.0616,,,,,,,,,,,,,,,,,
0.0613,,,,,,,,,,,,,,,,,
0.0612,,,,,,,,,,,,,,,,,
0.0614,,,,,,,,,,,,,,,,,
0.0622,,,,,,,,,,,,,,,,,
0.0651,,,,,,,,,,,,,,,,,
0.0769,,,,,,,,,,,,,,,,,
0.0884,,,,,,,,,,,,,,,,,
0.0948,,,,,,,,,,,,,,,,,
0.09300000000000001,,,,,,,,,,,,,,,,,
0.0945,,,,,,,,,,,,,,,,,
0.0985,,,,,,,,,,,,,,,,,
0.10300000000000001,,,,,,,,,,,,,,,,,
0.10300000000000001,,,,,,,,,,,,,,,,,
0.10099999999999999,,,,,,,,,,,,,,,,,
0.102,,,,,,,,,,,,,,,,,
0.10300000000000001,,,,,,,,,,,,,,,,,
0.0985,,,,,,,,,,,,,,,,,
0.0995,,,,,,,,,,,,,,,,,
0.102,,,,,,,,,,,,,,,,,
0.105,,,,,,,,,,,,,,,,,
0.107,,,,,,,,,,,,,,,,,
0.11199999999999999,,,,,,,,,,,,,,,,,
0.111,,,,,,,,,,,,,,,,,
0.142,,,,,,,,,,,,,,,,,
0.16899999999999998,,,,,,,,,,,,,,,,,
0.179,,,,,,,,,,,,,,,,,
0.185,,,,,,,,,,,,,,,,,
0.193,,,,,,,,,,,,,,,,,
0.193,,,,,,,,,,,,,,,,,
0.19399999999999998,,,,,,,,,,,,,,,,,
0.193,,,,,,,,,,,,,,,,,
0.193,,,,,,,,,,,,,,,,,
