Date,Bitcoin,Ethereum,Litecoin,Bitcoin Cash,Ethereum Classic,XRP,Bitcoin SV,Dash,Zcash,Monero,Dogecoin,Bitcoin Gold,Peercoin,Vertcoin,Reddcoin,Feathercoin,Blackcoin,Novacoin
2010-07-17,0.0495,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-18,0.0726,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-19,0.0859,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-20,0.0783,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-21,0.0767,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-22,0.0649,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-23,0.0566,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-24,0.0581,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-25,0.053,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-26,0.053,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-27,0.058,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-28,0.0595,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-29,0.0648,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-30,0.0663,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-07-31,0.0664,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-01,0.0611,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-02,0.0613,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-03,0.06,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-04,0.0597,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-05,0.0596,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-06,0.0622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-07,0.0599,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-08,0.06,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-09,0.066,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-10,0.069,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-11,0.0635,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-12,0.069,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-13,0.0655,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-14,0.0663,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-15,0.0661,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-16,0.0643,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-17,0.0678,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-18,0.069,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-19,0.0673,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-20,0.0661,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-21,0.066,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-22,0.0655,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-23,0.0655,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-24,0.065,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-25,0.0656,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-26,0.0644,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-27,0.0645,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-28,0.0646,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-29,0.0644,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-30,0.0648,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-08-31,0.0621,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-01,0.0625,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-02,0.0622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-03,0.0609,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-04,0.0618,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-05,0.062,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-06,0.0622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-07,0.0613,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-08,0.0615,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-09,0.0611,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-10,0.0614,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-11,0.0628,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-12,0.0618,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-13,0.0621,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-14,0.062,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-15,0.0615,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-16,0.0619,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-17,0.0599,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-18,0.06,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-19,0.0618,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-20,0.0621,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-21,0.0629,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-22,0.0623,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-23,0.0622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-24,0.0621,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-25,0.0621,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-26,0.062,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-27,0.0621,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-28,0.0619,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-29,0.062,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-09-30,0.0618,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-10-01,0.0619,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-10-02,0.0616,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-10-03,0.0613,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-10-04,0.0612,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2010-10-05,0.0614,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
